"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","TotalBsmtSF","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","SaleType","SalePrice","YrDiffSoldBuilt","YrDiffRemodBlt","YrDiffSoldRemod","X2ndFlrYN","TotalBath","HalfBathYN","YrDiffGarageBlt","FrontAreaSF"
357,20,"RL",65,9248,"IR1","Lvl","D","A","B","6","B","B","BrkFace",106,"TA","A","Gd","No","A",560,1158,"Good","A",1167,0,1167,2,3,"Gd","6","No","Attchd","RFn",2,"400","Paved","B",173000,17,0,17,"No",3,"No",0,146
358,120,"RH",44,4224,"Reg","Lvl","A","B","B","5","E","C","None",0,"TA","A","Gd","No","B",874,1142,"Good","A",1142,0,1142,1,3,"TA","6","Yes","Attchd","Fin",2,"528","Paved","B",134000,31,0,31,"No",2.5,"Yes",0,626
359,80,"RL",92,6930,"IR1","Lvl","D","A","B","5","B","B","BrkFace",120,"TA","B","TA","Av","B",300,1062,"Excellent","B",1352,0,1352,1,3,"Gd","6","No","BuiltIn","Unf",1,"288","Paved","B",130000,48,0,48,"No",1.5,"No",0,462
360,60,"RL",78,12011,"IR1","Lvl","F","A","C","8","D","C","BrkFace",530,"Gd","A","Gd","Av","A",956,1086,"Excellent","A",1086,838,1924,2,3,"Gd","7","Yes","Attchd","RFn",2,"592","Paved","B",280000,8,0,8,"Yes",3.5,"Yes",0,657
361,85,"RL",54,7540,"IR1","Lvl","C","A","A","6","D","C","None",0,"TA","B","Gd","Av","A",773,888,"Excellent","A",912,0,912,1,2,"TA","5","Yes","Attchd","RFn",2,"470","Paved","B",156000,29,0,29,"No",2,"No",0,192
362,50,"RL",60,9144,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","B","TA","No","B",399,883,"Good","A",988,517,1505,1,3,"TA","8","No","Detchd","Unf",1,"240","PartialNo","B",145000,68,42,26,"Yes",2,"No",0,0
363,85,"RL",64,7301,"Reg","Lvl","B","A","A","7","B","B","BrkFace",500,"Gd","B","Gd","NoBasement","No Basement",0,0,"Excellent","A",495,1427,1922,3,4,"Gd","7","Yes","BuiltIn","RFn",2,"672","Paved","A",198500,6,0,6,"Yes",3,"No",0,177
364,160,"RH",21,1680,"Reg","Lvl","A","C","C","6","B","B","BrkFace",510,"TA","B","TA","No","B",162,483,"Good","A",483,504,987,1,2,"Gd","5","No","Detchd","Unf",1,"264","Paved","B",118000,37,35,2,"Yes",1.5,"Yes",0,250
365,60,"RL",80,18800,"IR1","Lvl","D","A","C","6","B","B","BrkFace",120,"TA","A","Gd","Mn","A",712,796,"Good","A",790,784,1574,2,3,"TA","6","Yes","Attchd","Fin",2,"566","Paved","B",190000,30,0,30,"Yes",3.5,"Yes",0,417
366,70,"RH",59,10690,"Reg","Lvl","A","A","C","5","D","C","None",0,"TA","B","TA","No","B",456,672,"Good","B",672,672,1344,1,3,"TA","6","No","Detchd","Unf",1,"468","Paved","B",147000,89,77,12,"Yes",1,"No",44,346
367,20,"RL",79,9500,"IR1","Lvl","C","A","B","6","C","B","BrkFace",247,"TA","B","Gd","No","B",609,1394,"Good","A",1394,0,1394,1,3,"TA","6","Yes","Attchd","RFn",2,"514","Paved","B",159000,46,0,46,"No",2.5,"Yes",0,261
368,80,"RL",101,9150,"IR1","Lvl","C","A","B","6","C","B","BrkFace",305,"TA","B","Gd","Gd","A",371,1099,"Good","A",1431,0,1431,1,3,"TA","6","Yes","Basment","RFn",1,"296","Paved","B",165000,46,0,46,"No",1.5,"No",0,174
369,20,"RL",78,7800,"Reg","Lvl","C","A","B","5","B","B","BrkFace",200,"TA","A","TA","No","B",540,1268,"Good","A",1268,0,1268,1,2,"TA","7","Yes","Attchd","Fin",1,"244","Paved","B",132000,56,0,56,"No",1,"No",0,98
370,20,"RL",77,9830,"IR1","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",72,1063,"Excellent","A",1287,0,1287,1,3,"Gd","7","Yes","Detchd","Fin",2,"576","Paved","B",162000,51,47,4,"No",2,"No",38,563
371,60,"RL",62,8121,"IR1","Lvl","D","A","C","6","D","C","None",0,"TA","A","Gd","No","B",0,953,"Excellent","A",953,711,1664,2,3,"TA","7","Yes","Attchd","RFn",2,"460","Paved","B",172400,6,0,6,"Yes",2.5,"Yes",0,140
372,50,"RL",80,17120,"Reg","Lvl","D","A","A","4","B","B","None",0,"TA","B","TA","NoBasement","No Basement",0,0,"Good","A",1120,468,1588,2,4,"TA","7","Yes","Detchd","Fin",2,"680","PartialNo","B",134432,49,0,49,"Yes",2,"No",32,59
373,120,"RL",50,7175,"Reg","Lvl","D","B","B","6","C","B","None",0,"TA","B","Gd","No","B",623,744,"Good","A",752,0,752,1,2,"TA","4","No","Attchd","Unf",1,"264","Paved","B",125000,26,0,26,"No",2,"No",0,443
374,20,"RL",79,10634,"Reg","Lvl","C","A","B","5","B","B","None",0,"TA","A","TA","No","B",428,608,"Good","A",1319,0,1319,1,3,"TA","5","No","Attchd","Unf",1,"270","Paved","B",123000,56,0,56,"No",2,"No",0,66
375,60,"RL",65,8200,"Reg","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","No","B",0,847,"Excellent","A",847,1081,1928,2,4,"Gd","8","Yes","BuiltIn","Fin",2,"434","Paved","B",219500,4,1,3,"Yes",2.5,"Yes",0,148
376,30,"RL",75,10020,"IR1","Low","B","A","B","1","B","B","None",0,"Fa","B","Fa","Gd","B",350,683,"Good","B",904,0,904,0,1,"Fa","4","No","No Garage","No Garage",0,"0","Paved","B",61000,87,28,59,"No",1.5,"Yes",35,0
377,85,"RL",57,8846,"IR1","Lvl","D","A","A","5","D","C","None",0,"Gd","A","Gd","Av","A",298,870,"Excellent","A",914,0,914,1,2,"TA","5","No","Detchd","Unf",2,"576","Paved","B",148000,10,0,10,"No",1,"No",2,0
378,60,"FV",102,11143,"IR1","Lvl","E","A","C","8","E","C","None",0,"Gd","A","Gd","No","B",0,1580,"Excellent","A",1580,886,2466,3,4,"Gd","8","Yes","Attchd","RFn",2,"610","Paved","B",340000,3,1,2,"Yes",3,"No",0,373
379,20,"RL",88,11394,"Reg","Lvl","F","A","B","9","D","C","Stone",350,"Gd","A","Ex","Av","A",1445,1856,"Excellent","A",1856,0,1856,1,1,"Ex","8","Yes","Attchd","Fin",3,"834","Paved","C",394432,0,0,0,"No",2.5,"Yes",0,113
380,60,"RL",60,8123,"IR1","Lvl","D","A","C","6","D","C","BrkFace",16,"TA","A","Gd","No","B",0,982,"Excellent","A",1007,793,1800,2,3,"TA","7","Yes","Attchd","Fin",2,"463","Paved","B",179000,9,0,9,"Yes",2.5,"Yes",0,163
381,50,"RL",50,5000,"Reg","Lvl","C","A","A","5","C","B","None",0,"TA","B","TA","No","B",218,1026,"Good","A",1026,665,1691,2,3,"Gd","6","Yes","Detchd","Unf",1,"308","Paved","B",127000,86,26,60,"Yes",2,"No",0,242
382,20,"FV",60,7200,"Reg","Lvl","E","A","B","7","D","C","None",0,"Gd","A","Gd","No","B",0,1293,"Excellent","A",1301,0,1301,2,2,"Gd","5","Yes","Attchd","RFn",2,"572","Paved","C",187750,0,0,0,"No",3,"No",0,337
383,60,"RL",79,9245,"IR1","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","Av","B",0,939,"Excellent","A",939,858,1797,2,3,"Gd","8","No","Attchd","RFn",2,"639","Paved","B",213500,1,0,1,"Yes",2.5,"Yes",0,197
384,45,"RH",60,9000,"Reg","Lvl","D","A","A","6","B","B","None",0,"TA","B","Fa","No","B",0,784,"Good","B",784,0,784,1,2,"TA","5","No","Detchd","Unf",2,"360","PartialNo","B",76000,81,22,59,"No",1,"No",22,91
385,60,"RL",73,53107,"IR2","Low","D","A","C","6","B","B","None",0,"Gd","A","Gd","Av","A",985,1580,"Excellent","A",1079,874,1953,2,3,"Gd","9","Yes","Attchd","Fin",2,"501","Paved","B",240000,15,0,15,"Yes",3.5,"Yes",0,447
386,120,"RL",43,3182,"Reg","Lvl","D","B","B","8","D","C","BrkFace",16,"Gd","A","Gd","No","A",24,1256,"Excellent","A",1269,0,1269,2,2,"Gd","6","Yes","Attchd","Fin",2,"430","Paved","B",192000,6,1,5,"No",2,"No",0,310
387,50,"RL",58,8410,"Reg","Lvl","B","A","A","5","B","C","None",0,"TA","A","TA","No","B",0,658,"Good","A",658,526,1184,1,5,"TA","8","No","No Garage","No Garage",0,"0","PartialNo","B",81000,96,86,10,"Yes",1,"No",17,151
388,80,"RL",72,7200,"Reg","Lvl","B","A","B","6","B","B","BrkFace",255,"TA","B","TA","Av","B",631,1041,"Excellent","A",1125,0,1125,1,3,"TA","6","Yes","Detchd","Unf",1,"352","Paved","B",125000,33,0,33,"No",2,"No",1,296
389,20,"RL",93,9382,"IR1","Lvl","D","A","B","7","D","C","BrkFace",125,"Gd","A","Gd","No","B",0,1468,"Excellent","A",1479,0,1479,2,3,"Gd","6","No","Attchd","RFn",2,"577","Paved","B",191000,9,1,8,"No",2,"No",0,145
390,60,"RL",96,12474,"Reg","Lvl","F","A","C","10","D","C","Stone",272,"Ex","A","Ex","Av","A",1280,1682,"Excellent","A",1742,590,2332,2,3,"Ex","9","Yes","BuiltIn","Fin",3,"846","Paved","C",426000,1,1,0,"Yes",3.5,"Yes",1,330
391,50,"RL",50,8405,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","B","TA","No","B",241,861,"Excellent","A",961,406,1367,1,4,"TA","7","No","Detchd","Unf",1,"384","Paved","B",119000,108,50,58,"Yes",2,"No",78,242
392,60,"RL",71,12209,"IR1","Lvl","C","A","C","6","D","C","None",0,"TA","A","Ex","No","B",690,804,"Excellent","A",804,1157,1961,2,3,"Gd","7","Yes","BuiltIn","Fin",2,"560","Paved","B",215000,8,1,7,"Yes",3.5,"Yes",0,317
393,20,"RL",70,8339,"IR1","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","NoBasement","No Basement",0,0,"Good","A",882,0,882,1,3,"TA","5","No","Attchd","RFn",1,"294","Paved","B",106500,48,0,48,"No",1,"No",0,0
394,30,"RL",55,7446,"Reg","Lvl","B","A","B","4","B","B","None",0,"TA","B","TA","No","B",266,788,"Good","B",788,0,788,1,2,"TA","4","Yes","No Garage","No Garage",0,"0","Paved","B",100000,65,9,56,"No",1,"No",0,0
395,50,"RL",60,10134,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","B","TA","No","B",0,735,"Good","B",735,299,1034,1,2,"TA","5","No","Detchd","Unf",1,"240","Paved","B",109000,67,10,57,"Yes",1,"No",0,39
396,20,"RL",68,9571,"Reg","Lvl","B","A","B","5","B","B","None",0,"TA","B","TA","Av","B",739,1144,"Good","A",1144,0,1144,1,3,"TA","6","No","Attchd","Unf",1,"596","Paved","B",129000,54,0,54,"No",2,"No",0,44
397,20,"RL",60,7200,"Reg","Low","D","A","B","5","B","B","None",0,"TA","B","TA","Av","B",777,894,"Good","A",894,0,894,1,2,"TA","6","No","Detchd","RFn",2,"600","Paved","B",123000,37,0,37,"No",1,"No",13,215
398,60,"RL",69,7590,"Reg","Lvl","C","A","C","5","D","C","BrkFace",288,"TA","B","TA","No","B",540,864,"Good","A",876,936,1812,2,4,"TA","8","Yes","Attchd","RFn",1,"264","Paved","B",169500,45,0,45,"Yes",2,"No",0,168
399,30,"RH",60,8967,"Reg","Lvl","A","A","B","5","B","B","None",0,"TA","B","Fa","No","B",0,961,"Good","B",1077,0,1077,1,2,"TA","6","No","Detchd","Unf",1,"338","PartialNo","B",67000,87,30,57,"No",1,"No",0,0
400,60,"FV",65,8125,"Reg","Lvl","E","A","C","7","E","C","Stone",100,"Gd","A","Gd","No","A",812,1092,"Excellent","A",1112,438,1550,2,2,"Gd","7","No","Attchd","Fin",2,"438","Paved","B",241000,3,1,2,"Yes",3,"No",1,168
401,120,"RL",38,14963,"IR2","Lvl","E","B","B","8","C","B","None",0,"Gd","A","Gd","No","A",786,1260,"Excellent","A",1288,0,1288,1,1,"Ex","4","Yes","Attchd","Fin",2,"500","Paved","B",245500,12,0,12,"No",2.5,"Yes",0,374
402,20,"RL",65,8767,"IR1","Lvl","D","A","B","7","D","C","None",0,"Gd","A","Gd","Av","A",24,1310,"Excellent","A",1310,0,1310,2,3,"Gd","6","Yes","Attchd","Fin",2,"400","Paved","C",164990,1,0,1,"No",2,"No",0,0
403,30,"RL",60,10200,"Reg","Lvl","C","A","B","5","B","B","None",0,"TA","A","TA","No","B",0,672,"Excellent","A",672,0,672,1,2,"TA","4","No","Detchd","Unf",1,"240","PartialNo","B",108000,68,57,11,"No",1,"No",0,168
404,60,"RL",93,12090,"Reg","Lvl","F","A","C","8","D","C","BrkFace",650,"Gd","A","Gd","No","B",0,1141,"Good","A",1165,1098,2263,2,4,"Gd","10","Yes","BuiltIn","Fin",2,"420","Paved","B",258000,8,0,8,"Yes",2.5,"Yes",0,267
405,60,"RL",72,10364,"IR1","Lvl","D","A","C","6","B","B","None",0,"TA","A","Gd","No","B",0,806,"Good","A",806,766,1572,2,3,"TA","7","Yes","BuiltIn","Fin",2,"373","Paved","B",168000,12,1,11,"Yes",2.5,"Yes",0,40
406,20,"RL",60,9991,"IR1","Lvl","C","A","B","4","C","B","None",0,"TA","B","TA","No","B",1116,1281,"Excellent","A",1620,0,1620,2,3,"TA","8","Yes","Attchd","Unf",2,"490","Paved","B",150000,33,17,16,"No",3,"No",17,198
407,50,"RL",51,10480,"Reg","Lvl","C","A","A","6","B","B","None",0,"TA","B","TA","No","B",0,1064,"Excellent","B",1166,0,1639,1,3,"TA","6","No","Detchd","Unf",1,"240","Paved","B",115000,72,14,58,"No",1,"No",0,0
408,70,"RL",63,15576,"Reg","Lvl","D","A","C","6","B","B","None",0,"TA","B","Gd","No","B",0,840,"Excellent","A",840,840,1680,2,4,"TA","8","No","Attchd","Unf",1,"308","Paved","B",177000,93,61,32,"Yes",2,"No",45,160
409,60,"RL",109,14154,"Reg","Lvl","F","A","C","7","D","C","BrkFace",350,"Gd","A","Ex","No","B",0,1063,"Excellent","A",1071,1101,2172,2,3,"Gd","9","Yes","Attchd","RFn",3,"947","Paved","C",280000,1,0,1,"Yes",2.5,"Yes",0,254
410,60,"FV",85,10800,"Reg","Lvl","E","A","C","8","D","C","Stone",100,"Gd","A","Ex","No","A",789,1034,"Excellent","A",1050,1028,2078,2,3,"Ex","8","Yes","Attchd","Fin",3,"836","Paved","C",339750,1,1,0,"Yes",3.5,"Yes",1,102
411,20,"RL",68,9571,"Reg","Lvl","B","A","B","5","A","A","None",0,"TA","B","TA","No","B",0,1276,"Good","B",1276,0,1276,1,3,"TA","5","No","Attchd","Unf",1,"350","Paved","A",60000,51,0,51,"No",1,"No",0,0
412,190,"RL",100,34650,"Reg","Bnk","D","C","B","5","B","B","None",0,"TA","B","TA","Mn","B",1056,1056,"Good","A",1056,0,1056,1,3,"TA","5","No","Attchd","Fin",2,"572","Paved","B",145000,51,0,51,"No",2,"No",0,264
413,20,"FV",35,4403,"IR2","Lvl","E","A","B","7","B","B","Stone",432,"Ex","A","Ex","Av","A",578,1470,"Excellent","A",1478,0,1478,2,2,"Gd","7","Yes","Attchd","Fin",2,"484","Paved","C",222000,1,0,1,"No",3.5,"Yes",0,144
414,30,"RH",56,8960,"Reg","Lvl","B","A","B","5","B","B","None",0,"TA","B","TA","No","B",0,1008,"Good","B",1028,0,1028,1,2,"TA","5","Yes","Detchd","Unf",2,"360","Paved","B",115000,83,23,60,"No",1,"No",0,130
415,60,"RL",59,11228,"IR2","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","No","B",50,1080,"Excellent","A",1080,1017,2097,2,3,"Gd","9","Yes","Attchd","Unf",3,"678","Paved","B",228000,15,0,15,"Yes",3,"Yes",0,383
416,20,"RL",73,8899,"IR1","Lvl","D","A","B","7","D","C","None",0,"Gd","A","Gd","Av","A",24,1340,"Excellent","A",1340,0,1340,2,3,"Gd","6","No","Attchd","Fin",2,"396","Paved","C",181134,0,0,0,"No",2,"No",0,130
417,60,"RL",74,7844,"Reg","Lvl","C","A","C","6","B","B","BrkFace",203,"TA","B","TA","No","B",209,672,"Good","A",672,728,1400,1,3,"TA","6","Yes","Attchd","Fin",2,"440","Paved","B",149500,28,0,28,"Yes",1.5,"Yes",0,0
418,70,"RL",86,22420,"IR1","Lvl","D","A","C","6","B","B","None",0,"TA","B","Gd","No","B",1128,1370,"Good","B",1370,1254,2624,2,4,"TA","10","Yes","Detchd","Unf",3,"864","PartialNo","B",239000,89,32,57,"Yes",3.5,"Yes",0,0
419,50,"RL",60,8160,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","B","TA","No","B",312,756,"Bad","B",756,378,1134,1,3,"TA","7","No","Detchd","Unf",1,"240","PartialNo","B",126000,67,10,57,"Yes",2.5,"Yes",0,0
420,20,"RL",65,8450,"Reg","Lvl","C","A","B","5","D","C","None",0,"TA","B","TA","No","B",775,1056,"Excellent","A",1056,0,1056,1,3,"TA","6","Yes","Attchd","Unf",1,"304","Paved","B",142000,42,0,42,"No",2,"No",0,269
421,90,"RH",78,7060,"Reg","Lvl","C","C","A","7","D","C","BrkFace",200,"TA","A","Gd","Gd","A",1309,1344,"Excellent","A",1344,0,1344,2,2,"TA","8","No","Attchd","Fin",4,"784","Paved","B",206300,11,1,10,"No",4,"No",0,0
422,20,"RL",85,16635,"IR1","Lvl","D","A","B","6","E","C","Stone",126,"Gd","B","Gd","No","B",1246,1602,"Good","A",1602,0,1602,2,3,"Gd","8","Yes","Attchd","Fin",2,"529","Paved","B",215000,32,23,9,"No",2.5,"No",0,240
423,20,"RL",100,21750,"Reg","HLS","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",0,988,"Excellent","B",988,0,988,1,2,"TA","4","No","Attchd","RFn",2,"520","PartialNo","B",113000,54,0,54,"No",1,"No",0,0
424,60,"RL",80,9200,"Reg","Lvl","F","A","C","8","D","C","BrkFace",473,"Gd","A","Gd","No","A",986,1470,"Good","A",1470,1160,2630,2,4,"Gd","8","Yes","Attchd","Fin",3,"696","Paved","B",315000,10,0,10,"Yes",3.5,"Yes",0,66
425,20,"RL",72,9000,"Reg","Lvl","C","A","B","6","B","B","BrkFace",74,"TA","B","Gd","No","B",616,1196,"Good","B",1196,0,1196,1,2,"TA","6","Yes","Attchd","RFn",1,"297","Paved","B",139000,52,0,52,"No",2,"No",0,44
426,60,"RH",60,3378,"Reg","HLS","B","A","C","7","B","B","None",0,"TA","B","TA","No","B",0,651,"Good","A",707,682,1389,1,3,"TA","6","Yes","Detchd","Unf",1,"240","PartialNo","B",135000,63,46,17,"Yes",1.5,"Yes",1,126
427,80,"RL",79,12800,"Reg","Low","D","A","B","7","B","B","BrkFace",145,"Gd","A","Gd","Gd","A",1518,1518,"Good","A",1644,0,1644,2,2,"Gd","5","Yes","Attchd","Fin",2,"569","Paved","B",275000,20,0,20,"No",3.5,"No",0,476
428,20,"RL",77,8593,"IR1","Lvl","C","A","B","4","B","B","None",0,"TA","B","TA","No","B",288,907,"Excellent","A",907,0,907,1,3,"TA","5","No","Detchd","Unf",1,"352","Paved","B",109008,51,0,51,"No",1,"No",7,0
429,20,"RL",64,6762,"Reg","Lvl","D","A","B","7","D","C","BrkFace",108,"Gd","A","Gd","No","A",664,1208,"Excellent","A",1208,0,1208,2,2,"Gd","6","No","Attchd","RFn",2,"628","Paved","C",195400,0,0,0,"No",3,"No",0,159
430,20,"RL",130,11457,"IR1","Lvl","E","A","B","6","B","B","None",0,"TA","B","Gd","Mn","A",1005,1392,"Good","A",1412,0,1412,2,3,"Gd","6","Yes","Attchd","Unf",2,"576","Paved","B",175000,21,0,21,"No",3,"No",0,169
431,160,"RH",21,1680,"Reg","Lvl","A","C","C","6","B","B","BrkFace",232,"TA","B","TA","No","B",387,483,"Good","A",483,504,987,1,2,"TA","4","No","Detchd","Unf",1,"264","Paved","A",85400,37,0,37,"Yes",1.5,"Yes",0,0
432,50,"RH",60,5586,"IR1","Bnk","B","A","A","6","B","B","None",0,"TA","B","TA","No","B",0,901,"Good","A",1088,110,1198,1,4,"TA","7","No","No Garage","No Garage",0,"0","PartialNo","A",79900,88,78,10,"Yes",1,"No",10,98
433,160,"RH",24,1920,"Reg","Lvl","A","B","C","5","B","B","BrkFace",376,"TA","B","TA","No","B",471,765,"Excellent","A",765,600,1365,1,2,"TA","6","No","Detchd","Unf",2,"440","Paved","B",122500,36,0,36,"Yes",2.5,"Yes",0,276
434,60,"RL",100,10839,"IR1","Lvl","D","A","C","6","D","C","None",0,"TA","A","Gd","No","B",0,926,"Excellent","A",926,678,1604,2,3,"TA","7","Yes","Attchd","Fin",2,"470","Paved","B",181000,11,1,10,"Yes",2.5,"Yes",0,36
435,180,"RH",21,1890,"Reg","Lvl","A","C","A","4","E","C","None",0,"TA","B","Gd","Av","B",495,630,"Good","A",630,0,630,1,1,"TA","3","No","No Garage","No Garage",0,"0","Paved","B",81000,36,0,36,"No",2,"No",1,88
436,60,"RL",43,10667,"IR2","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","Av","A",385,799,"Excellent","A",827,834,1661,2,3,"Gd","6","Yes","Attchd","RFn",2,"550","Paved","C",212000,13,0,13,"Yes",3.5,"Yes",0,219
437,50,"RH",40,4400,"Reg","Lvl","B","A","A","6","B","B","None",0,"TA","B","Fa","No","B",0,648,"Good","B",734,384,1118,1,2,"TA","6","No","Detchd","Unf",2,"440","Paved","B",116000,86,30,56,"Yes",1,"No",70,0
438,45,"RH",50,6000,"Reg","Lvl","B","A","A","6","B","B","None",0,"Gd","A","TA","No","B",0,884,"Good","A",904,0,904,1,2,"TA","4","No","Detchd","Unf",1,"180","Paved","B",119000,83,78,5,"No",1,"No",0,105
439,30,"RL",40,4280,"Reg","Lvl","D","A","B","5","B","B","None",0,"TA","A","TA","No","B",365,440,"Good","A",694,0,694,1,2,"Gd","4","Yes","Detchd","Unf",1,"352","PartialNo","B",90350,94,89,5,"No",1,"No",77,34
440,50,"RL",67,12354,"Reg","Lvl","B","A","A","6","B","B","None",0,"TA","B","TA","Mn","B",0,684,"Good","A",684,512,1196,1,3,"Gd","7","No","Detchd","Unf",2,"528","Paved","A",110000,89,80,9,"Yes",1,"No",85,46
441,20,"RL",105,15431,"Reg","Lvl","F","A","B","10","D","C","Stone",200,"Ex","A","Ex","Gd","A",1767,3094,"Excellent","A",2402,0,2402,2,2,"Ex","10","Yes","Attchd","Fin",3,"672","Paved","B",555000,1,0,1,"No",3,"No",0,242
442,90,"RL",92,12108,"Reg","Lvl","B","C","B","4","D","C","BrkFace",270,"TA","B","TA","No","B",133,1440,"Good","B",1440,0,1440,2,4,"Fa","8","No","No Garage","No Garage",0,"0","Paved","B",118000,53,0,53,"No",2,"No",0,0
443,50,"RH",52,6240,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","A","TA","No","B",0,1078,"Good","A",1128,445,1573,2,3,"TA","8","Yes","Detchd","Unf",2,"360","PartialNo","B",162900,78,62,16,"Yes",2,"No",0,0
444,120,"RL",53,3922,"Reg","Lvl","D","B","B","7","B","B","BrkFace",72,"Gd","A","Ex","Av","B",0,1258,"Excellent","A",1258,0,1258,2,2,"Gd","6","Yes","Attchd","Fin",3,"648","Paved","C",172500,1,1,0,"No",2,"No",1,160
445,60,"RL",70,8750,"Reg","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","No","A",642,915,"Excellent","A",933,975,1908,2,4,"Gd","8","Yes","Attchd","Unf",2,"493","Paved","B",210000,14,1,13,"Yes",3.5,"Yes",0,277
446,20,"RL",73,9855,"Reg","Lvl","B","A","B","6","B","B","None",0,"TA","B","TA","No","B",0,1436,"Bad","A",1689,0,1689,1,3,"TA","7","Yes","Attchd","Unf",2,"480","Paved","A",127500,53,0,53,"No",1,"No",0,0
447,20,"RL",137,16492,"IR1","Lvl","C","A","B","6","C","B","None",0,"Gd","B","TA","No","B",247,1517,"Excellent","A",1888,0,1888,2,2,"Gd","6","Yes","Attchd","Fin",2,"578","Paved","B",190000,44,36,8,"No",2.5,"Yes",0,0
448,60,"RL",70,11214,"IR1","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","No","B",0,930,"Good","A",956,930,1886,2,4,"Gd","10","Yes","Attchd","Fin",2,"431","Paved","B",199900,8,1,7,"Yes",2.5,"Yes",0,89
449,50,"RH",50,8600,"Reg","Bnk","A","A","A","6","B","B","None",0,"TA","B","TA","No","B",0,780,"Good","A",780,596,1376,2,3,"TA","7","Yes","Detchd","Unf",1,"198","PartialNo","B",119500,69,13,56,"Yes",2,"No",0,0
450,50,"RH",50,6000,"Reg","Lvl","B","A","A","3","B","B","None",0,"TA","B","TA","No","B",331,649,"Excellent","A",679,504,1183,1,2,"TA","6","No","Detchd","Unf",1,"308","Paved","B",120000,59,54,5,"Yes",1.5,"Yes",33,176
451,30,"RH",70,5684,"Reg","Lvl","B","A","B","6","B","B","None",0,"TA","B","TA","No","B",0,813,"Excellent","B",813,0,813,1,2,"Gd","5","No","Detchd","Unf",1,"270","PartialNo","B",110000,76,75,1,"No",1,"No",2,113
452,20,"RL",62,70761,"IR1","Low","D","A","B","7","C","B","None",0,"TA","B","Gd","Gd","B",655,1533,"Good","A",1533,0,1533,2,2,"Gd","5","Yes","Attchd","Unf",2,"576","Paved","B",280000,31,0,31,"No",3,"No",0,254
453,60,"RL",73,9303,"IR1","Lvl","E","A","C","6","D","C","BrkFace",42,"Gd","A","Ex","No","B",742,872,"Excellent","A",888,868,1756,2,3,"TA","7","No","Attchd","Fin",2,"422","Paved","B",204000,11,1,10,"Yes",3.5,"Yes",0,266
454,60,"FV",75,9000,"Reg","Lvl","E","A","C","8","D","C","None",0,"Gd","A","Gd","No","B",0,768,"Excellent","A",786,804,1590,2,3,"Gd","6","No","Attchd","RFn",2,"676","Paved","B",210000,1,0,1,"Yes",2.5,"Yes",0,30
455,90,"RL",63,9297,"Reg","Lvl","C","C","B","5","C","B","None",0,"TA","B","TA","No","B",1606,1728,"Good","A",1728,0,1728,2,4,"TA","8","No","Detchd","Unf",2,"560","Paved","B",188000,30,0,30,"No",4,"No",0,0
456,20,"RL",80,9600,"Reg","Lvl","D","A","B","7","B","B","BrkFace",320,"TA","B","TA","No","B",916,1242,"Bad","A",1242,0,1242,1,3,"TA","6","Yes","Attchd","Unf",2,"528","Paved","B",175500,34,0,34,"No",1.5,"Yes",0,0
457,70,"RH",34,4571,"Reg","Lvl","B","A","C","5","A","A","None",0,"TA","B","TA","No","B",0,624,"Bad","A",624,720,1344,1,4,"TA","7","No","Detchd","Unf",3,"513","Paved","A",98000,92,34,58,"Yes",1,"No",0,96
458,20,"RL",73,53227,"IR1","Low","D","A","B","4","C","B","None",0,"TA","B","Gd","Gd","B",1116,1364,"Excellent","A",1663,0,1663,1,2,"Gd","6","Yes","Attchd","Fin",2,"529","Paved","B",256000,54,40,14,"No",2,"No",0,361
459,70,"RH",50,5100,"Reg","Lvl","B","A","C","8","B","B","None",0,"TA","A","TA","No","B",0,588,"Bad","A",833,833,1666,1,3,"Gd","7","Yes","Detchd","Unf",1,"228","Paved","B",161000,83,71,12,"Yes",1,"No",0,255
460,50,"RL",55,7015,"IR1","Bnk","B","A","A","5","B","B","BrkCmn",161,"TA","B","TA","No","B",185,709,"Good","A",979,224,1203,1,3,"Gd","5","Yes","Detchd","Unf",1,"352","Paved","B",110000,59,0,59,"Yes",2,"No",0,248
